Household,Travel Cot,Pop up travel cot with carry bag.,NULL,NULL,My house,9,NULL,NULL,NULL,1
Tools,Pressure Washer,"High performance pressure washer, ideal for cleaning patios, decking, cars, bicycles, garden furniture, walls, garage doors and wood fencing.",NULL,NULL,My house,1,NULL,NULL,NULL,1
Hobbies,Mountain Bike,Mountain bike suitable for rider height between 1.65m and 1.74m,NULL,NULL,My house,2,NULL,NULL,NULL,1
Outdoors,Hiking poles,Pair of lightweight hiking poles,NULL,NULL,My house,3,NULL,NULL,NULL,1
Hobbies,Rubber plant,A beautiful rubber plant,NULL,NULL,My house,3,NULL,NULL,NULL,1
People_Pets,Performing Rabbits,"Mountain and Moment - two very cute, fully housetrained rabbits, that walk on their hind legs in return for treats",NULL,NULL,My house,4,NULL,NULL,NULL,1
Tools,Cordless Hedgetrimmer,"Ideal for medium to large hedges, weighs 3.6kg.",NULL,NULL,My house,13,NULL,NULL,NULL,1
Outdoors,Sledge,Sledge with seats for two adults and one child,NULL,NULL,My house,6,NULL,NULL,NULL,1
Tools,Ladders,Telescopic ladder system.  Max open height step ladder 1.8m or extension ladder 3.7m.,NULL,NULL,My house,7,NULL,NULL,NULL,1
Electrical,Sewing machine,Janome basic digital,NULL,NULL,My house,8,NULL,NULL,NULL,1
Outdoors,Camping Picnic Table Set,"Seats 6. Includes table, two benches and two stools. Folds flat and comes with carry bag. Table: 120cm x 90cm x 70cm.",NULL,NULL,My house,16,NULL,NULL,NULL,1
Skills,Code Guru,15 minute slots available for emergency coding advice,NULL,NULL,Google Hangouts,10,NULL,NULL,NULL,1
Hobbies,Six Man Tent,Six berth inflatable tent with living area and three bedroom sections.,NULL,NULL,My house,11,NULL,NULL,NULL,1
People_Pets,Dog,Jack Russell,NULL,NULL,My house,12,NULL,NULL,NULL,1
Outdoors,Marquee,Heavy duty pop up gazebo with storage bag. Assembled dimensions 6m x 3m.,NULL,NULL,My house,15,NULL,NULL,NULL,1
Tools,Rug Doctor,Portable carpet cleaner,NULL,NULL,My House,14,NULL,NULL,NULL,1
Electrical,Projector,Mini home cinema projector,NULL,NULL,My House,5,NULL,NULL,NULL,1
Electrical,Portable PA System,Portable PA system with two microphones,NULL,NULL,My House,11,NULL,NULL,NULL,1
Outdoors,Barbecue,Portable barrel barbecue,NULL,NULL,My House,1,NULL,NULL,NULL,1
Hobbies,Pogo Stick,Black and red Krunk pogo stick,NULL,NULL,My House,2,NULL,NULL,NULL,1
Hobbies,Skateboard,"Powell Peralta, red and blue, 7.5 inch",NULL,NULL,My House,3,NULL,NULL,NULL,1
